읍면동,종합라벨,시장,추천종목_1,추천종목_2,추천종목_3,추천종목_4,추천종목_5,region_id,stock_ids
갈매동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,900,"[44, 54, 62, 1, 2]"
갈산1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,592,[]
갈산1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,592,"[44, 54, 62, 1, 2]"
갈산2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,593,[]
갈산2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,593,"[44, 54, 62, 1, 2]"
갈산동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,786,[]
갈산동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,786,"[44, 54, 62, 1, 2]"
갈현1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,261,[]
갈현1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,261,"[44, 54, 62, 1, 2]"
갈현2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,262,"[44, 54, 62, 1, 2]"
갈현2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,262,[]
갈현동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1221,[]
갈현동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1221,"[44, 54, 62, 1, 2]"
감북동,중장년균형형_도매 및 소매업,국장,현대백화점,삼성전자,SK하이닉스,카카오,네이버,967,"[46, 1, 2, 76, 85]"
감북동,중장년균형형_도매 및 소매업,미장,Ross Stores,Apple,Microsoft,Nvidia,Amazon,967,[]
감일동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1184,"[44, 54, 62, 1, 2]"
감일동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1184,[]
강상면,중장년균형형_도매 및 소매업,미장,Ross Stores,Apple,Microsoft,Nvidia,Amazon,1147,[]
강상면,중장년균형형_도매 및 소매업,국장,현대백화점,삼성전자,SK하이닉스,카카오,네이버,1147,"[46, 1, 2, 76, 85]"
강일동,청년성장형_운수 및 창고업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,1190,"[1, 2, 76, 85, 4]"
강일동,청년성장형_운수 및 창고업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1190,[]
강천면,고령안정형_도매 및 소매업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1127,[]
강천면,고령안정형_도매 및 소매업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,1127,"[1, 2, 76, 85, 4]"
강하면,고령안정형_도매 및 소매업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,1148,"[1, 2, 76, 85, 4]"
강하면,고령안정형_도매 및 소매업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1148,[]
강화읍,고령안정형_도매 및 소매업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,634,[]
강화읍,고령안정형_도매 및 소매업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,634,"[1, 2, 76, 85, 4]"
개군면,고령안정형_운수 및 창고업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1157,[]
개군면,고령안정형_운수 및 창고업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,1157,"[1, 2, 76, 85, 4]"
개봉1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,357,"[44, 54, 62, 1, 2]"
개봉1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,357,[]
개봉2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,350,[]
개봉2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,350,"[44, 54, 62, 1, 2]"
개봉3동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,351,"[44, 54, 62, 1, 2]"
개봉3동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,351,[]
개포1동,고령안정형_도매 및 소매업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,451,"[1, 2, 76, 85, 4]"
개포1동,고령안정형_도매 및 소매업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,451,[]
개포2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,461,"[44, 54, 62, 1, 2]"
개포2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,461,[]
개포4동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,452,[]
개포4동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,452,"[44, 54, 62, 1, 2]"
거여1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,464,[]
거여1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,464,"[44, 54, 62, 1, 2]"
거여2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,465,"[44, 54, 62, 1, 2]"
거여2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,465,[]
검단동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,632,[]
검단동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,632,"[44, 54, 62, 1, 2]"
검암경서동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,614,[]
검암경서동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,614,"[44, 54, 62, 1, 2]"
경안동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1091,"[44, 54, 62, 1, 2]"
경안동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1091,[]
계산1동,중장년균형형_도매 및 소매업,국장,현대백화점,삼성전자,SK하이닉스,카카오,네이버,604,"[46, 1, 2, 76, 85]"
계산1동,중장년균형형_도매 및 소매업,미장,Ross Stores,Apple,Microsoft,Nvidia,Amazon,604,[]
계산2동,중장년균형형_도매 및 소매업,국장,현대백화점,삼성전자,SK하이닉스,카카오,네이버,605,"[46, 1, 2, 76, 85]"
계산2동,중장년균형형_도매 및 소매업,미장,Ross Stores,Apple,Microsoft,Nvidia,Amazon,605,[]
계산3동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,606,"[44, 54, 62, 1, 2]"
계산3동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,606,[]
계산4동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,611,[]
계산4동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,611,"[44, 54, 62, 1, 2]"
계양1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,612,"[44, 54, 62, 1, 2]"
계양1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,612,[]
계양2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,610,[]
계양2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,610,"[44, 54, 62, 1, 2]"
계양3동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,613,"[44, 54, 62, 1, 2]"
계양3동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,613,[]
고덕1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,493,[]
고덕1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,493,"[44, 54, 62, 1, 2]"
고덕2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,494,[]
고덕2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,494,"[44, 54, 62, 1, 2]"
고덕면,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,810,"[44, 54, 62, 1, 2]"
고덕면,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,810,[]
고등동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,681,[]
고등동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,681,[]
고등동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,681,"[44, 54, 62, 1, 2]"
고등동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,681,"[44, 54, 62, 1, 2]"
고봉동,중장년균형형_도매 및 소매업,미장,Ross Stores,Apple,Microsoft,Nvidia,Amazon,883,[]
고봉동,중장년균형형_도매 및 소매업,국장,현대백화점,삼성전자,SK하이닉스,카카오,네이버,883,"[46, 1, 2, 76, 85]"
고삼면,고령안정형_제조업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,1045,"[1, 2, 76, 85, 4]"
고삼면,고령안정형_제조업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1045,[]
고양동,중장년균형형_도매 및 소매업,국장,현대백화점,삼성전자,SK하이닉스,카카오,네이버,863,"[46, 1, 2, 76, 85]"
고양동,중장년균형형_도매 및 소매업,미장,Ross Stores,Apple,Microsoft,Nvidia,Amazon,863,[]
고잔동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,845,"[44, 54, 62, 1, 2]"
고잔동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,845,[]
고척1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,348,"[44, 54, 62, 1, 2]"
고척1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,348,[]
고척2동,청년성장형_운수 및 창고업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,349,[]
고척2동,청년성장형_운수 및 창고업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,349,"[1, 2, 76, 85, 4]"
고천동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,956,"[44, 54, 62, 1, 2]"
고천동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,956,[]
고촌읍,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1050,[]
고촌읍,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1050,"[44, 54, 62, 1, 2]"
곡선동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,671,[]
곡선동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,671,"[44, 54, 62, 1, 2]"
곤지암읍,중장년균형형_제조업,국장,포스코홀딩스,삼성전자,SK하이닉스,카카오,네이버,1087,"[89, 1, 2, 76, 85]"
곤지암읍,중장년균형형_제조업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1087,[]
공덕동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,303,"[44, 54, 62, 1, 2]"
공덕동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,303,[]
공도읍,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1034,"[44, 54, 62, 1, 2]"
공도읍,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1034,[]
공릉1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,258,"[44, 54, 62, 1, 2]"
공릉1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,258,[]
공릉2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,243,[]
공릉2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,243,"[44, 54, 62, 1, 2]"
공항동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,337,"[44, 54, 62, 1, 2]"
공항동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,337,[]
과림동,고령안정형_제조업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,936,[]
과림동,고령안정형_제조업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,936,"[1, 2, 76, 85, 4]"
과천동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,898,[]
과천동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,898,"[44, 54, 62, 1, 2]"
관고동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1032,"[44, 54, 62, 1, 2]"
관고동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1032,[]
관교동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,543,[]
관교동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,543,"[44, 54, 62, 1, 2]"
관산동,중장년균형형_도매 및 소매업,국장,현대백화점,삼성전자,SK하이닉스,카카오,네이버,864,"[46, 1, 2, 76, 85]"
관산동,중장년균형형_도매 및 소매업,미장,Ross Stores,Apple,Microsoft,Nvidia,Amazon,864,[]
관양동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,775,"[44, 54, 62, 1, 2]"
관양동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,775,"[44, 54, 62, 1, 2]"
관양동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,775,[]
관양동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,775,[]
관인면,고령안정형_숙박 및 음식점업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1115,[]
관인면,고령안정형_숙박 및 음식점업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,1115,"[1, 2, 76, 85, 4]"
광교1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,693,[]
광교1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,693,"[44, 54, 62, 1, 2]"
광교2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,694,"[44, 54, 62, 1, 2]"
광교2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,694,[]
광남1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1188,"[44, 54, 62, 1, 2]"
광남1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1188,"[44, 54, 62, 1, 2]"
광남1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1188,[]
광남1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1188,[]
광명1동,중장년균형형_도매 및 소매업,국장,현대백화점,삼성전자,SK하이닉스,카카오,네이버,787,"[46, 1, 2, 76, 85]"
광명1동,중장년균형형_도매 및 소매업,미장,Ross Stores,Apple,Microsoft,Nvidia,Amazon,787,[]
광명2동,중장년균형형_도매 및 소매업,국장,현대백화점,삼성전자,SK하이닉스,카카오,네이버,788,"[46, 1, 2, 76, 85]"
광명2동,중장년균형형_도매 및 소매업,미장,Ross Stores,Apple,Microsoft,Nvidia,Amazon,788,[]
광명3동,중장년균형형_도매 및 소매업,국장,현대백화점,삼성전자,SK하이닉스,카카오,네이버,789,"[46, 1, 2, 76, 85]"
광명3동,중장년균형형_도매 및 소매업,미장,Ross Stores,Apple,Microsoft,Nvidia,Amazon,789,[]
광명4동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,790,"[44, 54, 62, 1, 2]"
광명4동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,790,[]
광명5동,청년성장형_운수 및 창고업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,791,[]
광명5동,청년성장형_운수 및 창고업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,791,"[1, 2, 76, 85, 4]"
광명6동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,792,"[44, 54, 62, 1, 2]"
광명6동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,792,[]
광명7동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,793,"[44, 54, 62, 1, 2]"
광명7동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,793,[]
광장동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,158,[]
광장동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,158,"[44, 54, 62, 1, 2]"
광적면,중장년균형형_제조업,국장,포스코홀딩스,삼성전자,SK하이닉스,카카오,네이버,1097,"[89, 1, 2, 76, 85]"
광적면,중장년균형형_제조업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1097,[]
광정동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,955,"[44, 54, 62, 1, 2]"
광정동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,955,[]
광탄면,고령안정형_제조업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1010,[]
광탄면,고령안정형_제조업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,1010,"[1, 2, 76, 85, 4]"
광희동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,105,"[44, 54, 62, 1, 2]"
광희동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,105,[]
교남동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,88,"[44, 54, 62, 1, 2]"
교남동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,88,[]
교동면,고령안정형_숙박 및 음식점업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,644,"[1, 2, 76, 85, 4]"
교동면,고령안정형_숙박 및 음식점업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,644,[]
교문1동,중장년균형형_도매 및 소매업,국장,현대백화점,삼성전자,SK하이닉스,카카오,네이버,903,"[46, 1, 2, 76, 85]"
교문1동,중장년균형형_도매 및 소매업,미장,Ross Stores,Apple,Microsoft,Nvidia,Amazon,903,[]
교문2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,904,[]
